commentaire,dialect,classe
ماتتعبش نفسك انت شخص لا نثق به أهدافك التدميرية ضد البلد واضحة فى كل حرف تكتبة,Egypt,hate
لنتذكر: كانت الدعوة منذ ٢٠١٠ لمقاطعة الانتخابات البرلمانية والرئاسية والاستفتاءات وغيرها من صور الديمقراطية الشكلية وسيلة فعالة للتغيير.,Egypt,normal
حزب امك يا ابن المثاليه,Egypt,abusive
يا ريت يا استاذ ابراهيم تبقى تعلق على اللى بيحصل فى الاعلام وتكون لازع فى انتقادك ليهم زى ما بتعمل مع بتوع تويتر والفيس,Egypt,normal
اتفرج علي الابراشي . بيشحتوا شحاته حقّهم بمذله وانكسار . موت وفضيحه وجرسه . خساره علي شعب رخيص و محدش رخصه غيره,Egypt,abusive
يا عم بلال احنا محتاجين نتعلم ونتثقف من جديد,Egypt,normal
بس يا ريس بقى ماتصغرناش ده انت كنت واقف مش عارف انت فين اصلا ده هشام الحرامي كان دريان عنك لما اتمسك,Egypt,normal
على الاقل كان فى حريات كنت بتقول مرسى ديكتاتور الى هو ازاى ان ديكتاتور يسمح انه يتقال عليه ديكتاتور سللملى على ايزنهور مصر.,Egypt,normal
الدكتور محمد البردعي ، نحن خُدِعْنا فيك ونرى أنه من الحكمة الأن أن تعتزل العمل السياسي والعام,Egypt,normal
لولا فساد النخبة أمثالك لما ضاعت الثورة صدعتونا بقبول الآخر وكنتم أكبر نماذج الإقصاء وفرض إرادة نخبوية واعتبارها بديلا عن الصندوق,Egypt,hate
ياراجل المهم شلنا مرسى والاخوان,Egypt,normal
"""عايزين نحجز لينا أسبوعين في #العقرب طالما حالته احسن من الفنادق وأكيد اللي بيموتوا هناك دا من السعادة #تحيأ-مصر""",Egypt,normal
امتنع عن شراء اللحوم الحمراء و مصنعاتها و اقرص ودن التاجر الجشع و يمكن الحكومة تخشن شوية #بلاها_لحمة,Egypt,normal
على اساس ان سفارات مصر فى شارع ابو الفدا بلاش الكلام الساذج هى اوربا فيها تظاهر بدون تصريح ولا انتم بتكلموا ناس هبل,Egypt,hate
عايزين نتيجة مش رغى,Egypt,normal
السيسي هو الارهاب وما حصل انما هو ردة فعل من شعب غاضب,Egypt,hate
باين عليك يا ابن الرقاصه احلف انك على ابوك انت لو انت على ابوك جيب عنوانك,Egypt,abusive
"""كم انت محترم يا شريف يا مخلص هؤلاء احقر من اقزام انهم جردان تخاف النور ولا تعيش الا بين مجاري االكواليس!""",Egypt,hate
